BlueMesa,Crystal,FlamingGorge,Fontenelle,LeesFerry,Navajo
# start 1917, 1; end 2009, 12; frequency 12,,,
29454.87817,,48221.21497,46229.26401,406012.9912,32457.6595
22236.68085,,37748.86764,37082.85089,380386.2285,18546.92231
15292.3447,,26231.68961,28090.17508,292680.8174,15429.75868
12705.74197,,24332.78633,26077.91575,271995.6406,17709.10413
15865.87918,,34507.63067,23145.17218,265314.2827,17625.97686
19871.73676,,46884.7381,32099.06264,248195.5435,21438.0343
43345.98285,49548.41528,73123.11432,47593.03506,242027.833,33301.13501
47127.73218,55209.8241,28438.60242,20223.19467,328217.0376,31866.92075
53019.48492,58213.58508,94141.3501,94633.67775,437795.479,20653.79566
23908.52387,29840.04199,58598.02789,50872.79848,269347.894,17988.43611
22802.2323,28760.79834,50453.12976,42028.5701,276560.604,37628.83118
14661.42751,17693.53095,37405.89887,34595.21241,238209.498,23367.66182
20108.60126,26124.04047,40515.25317,32142.72023,260794.7305,3778.23453
21625.58734,28881.70697,37518.63428,31238.68315,296742.6475,18376.74925
20267.51001,27010.78229,31090.93733,32702.61606,277410.6475,14597.27123
22334.45575,28471.81036,40350.68555,28779.18096,290962.3936,12783.36926
13984.7616,21373.25122,41136.37233,26466.18328,291025.7041,12198.26462
30323.36386,40531.11066,96681.75037,48790.7994,531137.6777,64210.38096
81346.07739,105514.2756,148220.8352,97704.35923,1036838.445,125120.0044
186468.9949,235321.3853,276098.1108,177006.4016,2089593.012,195686.4086
389404.2021,477461.9707,610750.3369,476882.3041,3720314.82,218029.0004
153465.2861,184177.4788,359473.7495,342528.0276,1831346.377,27491.1484
45821.65485,53690.69397,134882.9193,120733.7352,405267.3823,-9941.967728
13534.20477,19173.8053,69545.23462,62572.24705,269250.6519,-5951.018379
19943.96173,24821.76325,47635.74634,46486.6636,315355.9058,11278.8817
26335.8284,34674.31232,38960.48257,38423.4657,476809.583,29574.44921
23154.388,27287.25012,28916.64636,34061.02567,385340.9292,22534.30546
25840.05272,28260.07483,31546.0937,30352.95529,358379.8413,23998.72864
22197.23505,33926.71704,34257.02918,28593.78834,362370.2969,23960.41562
26120.9455,41167.32275,86432.54816,41511.20732,714947.8379,109648.2189
84028.7561,107871.1018,138636.1843,90322.7714,1638570.084,359639.1874
272127.2666,337416.2942,252019.5562,190138.9306,3163002.852,516172.4182
394322.9385,468217.0117,253309.7627,211905.7564,4293499.148,514434.4932
183516.0417,202200.9563,99315.12048,95023.68852,2009175.264,228746.3011
69180.68677,74653.03015,81834.00952,71262.06836,575905.2744,54339.02174
24960.70917,27843.39148,36012.13834,36927.52753,329505.9277,4584.969594
26085.89386,28732.13586,38836.76122,38208.31652,336633.5684,6606.359957
27936.05414,32899.18555,31268.23933,28232.03827,420089.498,15707.64162
25411.74411,28772.51965,34396.99315,26108.98012,339647.3779,17745.93649
25232.30267,31947.04187,43677.59757,26229.64737,413730.0732,25839.5739
25788.95825,31326.33337,50349.03864,27405.44649,559199.7822,43369.05119
28121.35768,32022.24829,93599.63269,31769.3898,606688.6162,65712.92537
80630.48572,99575.6355,220649.8452,104652.6512,1162256.885,253389.046
278531.7681,327140.5234,502104.7646,312412.1507,3638943.703,349649.5753
448486.9482,505083.8799,436990.9482,347066.5725,4223566.43,424313.8602
147812.6479,161548.9587,253361.7659,212316.0719,1580388.813,60343.3201
47190.49365,51594.58728,72165.97632,64274.24381,353966.0845,16924.63419
27996.21973,32554.09656,53704.77631,47014.91103,415438.3423,51737.34137
27734.54572,36349.83752,54550.43799,41531.10026,372141.2852,17432.30549
28108.88416,30212.5592,49176.48576,37642.18259,459458.1484,23680.71548
27376.07404,31007.52222,49484.56168,34389.32865,419235.2275,23493.70111
20237.0181,24115.18933,38641.83466,28756.57914,334574.666,20499.81448
18805.68182,24841.53595,36225.56879,26336.63198,270789.1729,14094.56416
24666.31036,32821.72369,65721.56812,41318.73176,305205.9653,23048.82287
41470.99698,57932.90845,68143.70355,43498.01228,375122.9209,66589.12771
65001.71899,79196.11841,108042.6967,70115.32375,715370.8184,107141.9025
116613.8672,129532.5624,261391.8066,217080.2336,1422394.601,120452.3105
57655.67847,67574.05823,108773.4305,95266.70883,545721.4648,39992.091
34927.15918,43116.57123,39613.94817,38471.1847,225967.0811,18515.46003
27166.73169,35063.58984,33270.04863,28905.02346,324746.7314,38938.35877
26912.28473,35174.44592,35688.35602,34667.05809,543028.0166,57884.55231
26184.5813,34460.6651,37243.59564,30780.97217,436812.9287,35603.95806
22240.34818,30958.18823,29257.27994,30259.38423,368247.1025,18026.79954
22972.43378,30714.43793,33803.73239,30776.11563,308045.2715,6570.529054
18408.83023,25141.6405,48559.92349,27081.7307,306053.6177,24543.63638
27857.1922,38001.32214,69228.06836,37289.58005,607326.4473,89323.56457
60685.65143,80518.0343,117702.4414,76250.41281,816518.0723,153963.4706
192437.7688,238449.5112,333603.2148,243180.3782,2214843.246,251011.5263
322641.3779,379175.7314,472333.8052,408382.051,3057720.922,233151.9538
164566.0315,184922.5986,547784.3086,483929.1731,2121548.07,92563.82825
104596.3989,115287.2966,220142.8674,200031.3345,1115245.016,98131.7606
79692.44605,92925.1438,131666.5387,98165.83428,894384.0176,134960.6735
52643.52808,68716.43628,165625.0703,129317.5304,960388.125,71211.99796
36661.45477,43518.48071,86013.80408,61481.31781,756064.875,45771.0337
27399.53905,35098.28589,61493.41272,46940.44296,607651.2598,43587.24912
27065.45917,34041.63672,61326.7561,42761.8855,384472.0034,35147.45758
23799.64081,30235.13654,52047.96631,35075.03033,445186.79,43262.28673
31192.68176,41592.70044,135996.7183,63060.06293,905170.584,110983.4216
42449.79028,60059.09045,231227.7493,115894.351,973195.0996,169771.1159
167926.4019,249094.9465,442293.2666,236248.9985,2912927.695,281243.3392
442963.1855,576800.6855,987619.5332,522690.7607,6710248.422,362141.433
238185.2705,297225.0659,513695.8301,359627.2988,4242555.211,139500.1723
