1949 2007
1969 15272159 15272159 15272159 15272159 15272159 15272159 15272159 15272159 15272159 15272159 15272159 15272159
1970 15344136 15344136 15344136 15344136 15344136 15344136 15344136 15344136 15344136 15344136 15344136 15344136
1971 15461094 15461094 15461094 15461094 15461094 15461094 15461094 15461094 15461094 15461094 15461094 15461094
1972 13164269 13164269 13164269 13164269 13164269 13164269 13164269 13164269 13164269 13164269 13164269 13164269
1973 18689788 18689788 18689788 18689788 18689788 18689788 18689788 18689788 18689788 18689788 18689788 18689788
1974 13326340 13326340 13326340 13326340 13326340 13326340 13326340 13326340 13326340 13326340 13326340 13326340
1975 17050056 17050056 17050056 17050056 17050056 17050056 17050056 17050056 17050056 17050056 17050056 17050056
1976 11237398 11237398 11237398 11237398 11237398 11237398 11237398 11237398 11237398 11237398 11237398 11237398
1977 5442752 5442752 5442752 5442752 5442752 5442752 5442752 5442752 5442752 5442752 5442752 5442752
1978 15349440 15349440 15349440 15349440 15349440 15349440 15349440 15349440 15349440 15349440 15349440 15349440
1979 17949858 17949858 17949858 17949858 17949858 17949858 17949858 17949858 17949858 17949858 17949858 17949858
1980 17860022 17860022 17860022 17860022 17860022 17860022 17860022 17860022 17860022 17860022 17860022 17860022
1981 8945976 8945976 8945976 8945976 8945976 8945976 8945976 8945976 8945976 8945976 8945976 8945976
1982 17530325 17530325 17530325 17530325 17530325 17530325 17530325 17530325 17530325 17530325 17530325 17530325
1983 24426521 24426521 24426521 24426521 24426521 24426521 24426521 24426521 24426521 24426521 24426521 24426521
1984 25425745 25425745 25425745 25425745 25425745 25425745 25425745 25425745 25425745 25425745 25425745 25425745
1985 20949407 20949407 20949407 20949407 20949407 20949407 20949407 20949407 20949407 20949407 20949407 20949407
1986 23187151 23187151 23187151 23187151 23187151 23187151 23187151 23187151 23187151 23187151 23187151 23187151
1987 15579800 15579800 15579800 15579800 15579800 15579800 15579800 15579800 15579800 15579800 15579800 15579800
1988 11441587 11441587 11441587 11441587 11441587 11441587 11441587 11441587 11441587 11441587 11441587 11441587
1989 10014874 10014874 10014874 10014874 10014874 10014874 10014874 10014874 10014874 10014874 10014874 10014874
1990 9552890 9552890 9552890 9552890 9552890 9552890 9552890 9552890 9552890 9552890 9552890 9552890
1991 12244383 12244383 12244383 12244383 12244383 12244383 12244383 12244383 12244383 12244383 12244383 12244383
1992 10882629 10882629 10882629 10882629 10882629 10882629 10882629 10882629 10882629 10882629 10882629 10882629
1993 18418487 18418487 18418487 18418487 18418487 18418487 18418487 18418487 18418487 18418487 18418487 18418487
1994 10600233 10600233 10600233 10600233 10600233 10600233 10600233 10600233 10600233 10600233 10600233 10600233
1995 20425637 20425637 20425637 20425637 20425637 20425637 20425637 20425637 20425637 20425637 20425637 20425637
1996 14580049 14580049 14580049 14580049 14580049 14580049 14580049 14580049 14580049 14580049 14580049 14580049
1997 21758137 21758137 21758137 21758137 21758137 21758137 21758137 21758137 21758137 21758137 21758137 21758137
1998 16802075 16802075 16802075 16802075 16802075 16802075 16802075 16802075 16802075 16802075 16802075 16802075
1999 16216071 16216071 16216071 16216071 16216071 16216071 16216071 16216071 16216071 16216071 16216071 16216071
2000 10859813 10859813 10859813 10859813 10859813 10859813 10859813 10859813 10859813 10859813 10859813 10859813
2001 10780741 10780741 10780741 10780741 10780741 10780741 10780741 10780741 10780741 10780741 10780741 10780741
2002 6222118 6222118 6222118 6222118 6222118 6222118 6222118 6222118 6222118 6222118 6222118 6222118
2003 10548586 10548586 10548586 10548586 10548586 10548586 10548586 10548586 10548586 10548586 10548586 10548586
2004 9836735 9836735 9836735 9836735 9836735 9836735 9836735 9836735 9836735 9836735 9836735 9836735
2005 16951350 16951350 16951350 16951350 16951350 16951350 16951350 16951350 16951350 16951350 16951350 16951350
2006 13012891 13012891 13012891 13012891 13012891 13012891 13012891 13012891 13012891 13012891 13012891 13012891
2007 11232533 11232533 11232533 11232533 11232533 11232533 11232533 11232533 11232533 11232533 11232533 11232533
-999
