"Year", "BlueMesa", "Crystal", "Navajo", "Fontenelle", "FlamingGorge", "LeesFerry"
11-30-1996,38614,48987,33902,45961,68081,634056
12-31-1996,34502,43096,23135,32178,49361,509778
01-31-1997,28607,40661,26421,38112,64931,507783
02-28-1997,23527,35583,27660,27884,57136,451552
03-31-1997,43375,66888,146830,77250,245257,1109672
04-30-1997,103905,147167,146414,92913,181143,1499418
05-31-1997,345304,441685,347297,377664,542117,4560684
06-30-1997,478523,581430,375722,686584,883942,6169847
07-31-1997,166761,201174,75560,246016,326225,2414455
08-31-1997,108138,127758,71603,167441,242348,1505215
09-30-1997,72827,86343,89836,92599,154854,1216603
10-31-1997,68539,73314,69538,59154,97715,1040131
11-30-1997,41222,53103,32011,45681,73895,721859
12-31-1997,30138,41666,24014,33051,38219,558461
01-31-1998,29812,42404,22353,33822,62085,523874
02-28-1998,26105,36569,22115,32390,58461,479865
03-31-1998,43148,54384,75461,58673,143073,772201
04-30-1998,59902,83648,112675,99309,165533,1337211
05-31-1998,196690,277180,266651,212104,354573,3609213
06-30-1998,205823,255765,142657,342382,568665,3595044
07-31-1998,138938,163010,44017,381749,539761,2557583
08-31-1998,74828,82056,10064,166519,245782,1266111
09-30-1998,39594,44466,-6156,72434,110604,696455
10-31-1998,42677,47554,54758,61485,93786,696463
11-30-1998,36469,44787,61117,49573,72874,762861
12-31-1998,23613,30505,28777,29524,38442,502350
01-31-1999,25708,29852,20416,33188,56269,471228
02-28-1999,23554,27780,21890,29911,50648,427588
03-31-1999,45395,56848,42058,57469,113704,683624
04-30-1999,51690,69672,102922,89821,171651,846009
05-31-1999,181254,235863,246787,282359,479451,2647407
06-30-1999,312919,364598,251797,599517,832383,4459957
07-31-1999,158622,189062,104188,329527,435158,2526986
08-31-1999,121035,153852,218764,132632,195993,1619066
09-30-1999,67256,81917,104815,71762,108064,1043020
10-31-1999,39441,57783,16524,45795,67081,574717
11-30-1999,28677,40488,13850,41527,62246,482853
12-31-1999,25879,38366,8811,31693,45278,431297
01-31-2000,27097,33831,12970,30744,52481,418317
02-29-2000,26014,31336,14085,31651,59661,435638
03-31-2000,38525,43828,37012,48669,85191,526973
04-30-2000,96955,125556,127308,89956,139072,1176232
05-31-2000,235472,299981,147344,177552,239809,2576207
06-30-2000,141737,170395,13037,221723,256425,2253793
07-31-2000,65708,76838,-26707,130878,180015,1051538
08-31-2000,47749,60251,-16829,62821,97626,586642
09-30-2000,37327,50252,-3525,39181,60051,514735
10-31-2000,29026,34404,10256,38187,55439,451433
11-30-2000,27556,33694,21366,28899,36415,463626
12-31-2000,24900,33281,17637,25774,32086,402837
01-31-2001,21586,27075,16187,25808,35600,331815
02-28-2001,21540,25686,21041,24860,40094,330169
03-31-2001,35691,40163,66839,49164,116551,592106
04-30-2001,61266,81353,167571,51462,107143,945170
05-31-2001,232391,289224,386207,134254,258734,2836393
06-30-2001,165425,192483,203834,115276,180946,2286413
07-31-2001,81443,94292,14670,100710,144714,1129555
08-31-2001,78889,90310,31069,51681,86855,799461
09-30-2001,38327,44252,-6291,30873,48657,453759
10-31-2001,28219,35010,5671,21581,25197,355356
11-30-2001,27511,33221,10583,26799,32628,383804
12-31-2001,23209,29648,11878,22974,24590,334206
01-31-2002,21669,28622,10812,22414,28361,307908
02-28-2002,16814,22291,8993,19315,26263,265779
03-31-2002,29993,35950,10397,30468,54560,378221
04-30-2002,53993,77871,17493,54409,81797,595619
05-31-2002,61326,79942,-10491,58117,97391,808690
06-30-2002,50378,64286,-31701,224170,269791,1117035
07-31-2002,31363,41334,-24042,138561,188953,726190
08-31-2002,20987,26421,-28343,56014,70174,443156
09-30-2002,16482,23758,-4365,39812,58588,487811
10-31-2002,24672,30621,11190,31891,39215,357599
11-30-2002,22769,28000,18932,31555,40990,430997
12-31-2002,17533,22206,12584,25855,29628,298521
01-31-2003,18348,24075,12094,25528,36565,271522
02-28-2003,16142,21682,13318,24193,36909,269612
03-31-2003,26703,34627,34935,59885,85327,508309
04-30-2003,42060,59418,58012,56691,79287,676222
05-31-2003,181777,225975,147687,96298,169168,2082025
06-30-2003,178391,212228,54790,228213,299915,3000648
07-31-2003,58050,71214,-28140,139999,190142,1270217
08-31-2003,42785,54925,-17449,57148,91196,627943
09-30-2003,47412,57323,36833,43363,59079,681384
10-31-2003,28113,36330,12221,27464,37731,398543
11-30-2003,23601,30419,23803,28047,37530,411169
12-31-2003,22049,27732,17349,28892,36904,349094
01-31-2004,20913,27732,18418,25560,36552,290943
02-29-2004,19434,25877,23278,23841,41960,311600
03-31-2004,46105,60022,115254,58637,112567,728186
04-30-2004,68239,91831,139055,67187,101561,1038557
05-31-2004,161880,209183,206817,81118,129493,1965659
06-30-2004,146169,175429,105656,217684,260258,1820829
07-31-2004,72149,83243,-3555,229723,275020,1117831
08-31-2004,37291,43651,-29532,78505,120778,504191
09-30-2004,26302,33223,41884,49845,76011,475368
10-31-2004,34670,41394,52069,48327,78414,623921
11-30-2004,26384,31214,43949,45682,68170,571149
12-31-2004,21405,26305,29729,30176,47068,391863
01-31-2005,21563,27520,52133,34497,52346,577175
02-28-2005,18648,25668,70979,26312,48430,530211
03-31-2005,25851,35412,84105,62633,137103,681724
04-30-2005,65425,86067,296806,118955,175498,1549095
05-31-2005,207783,261169,460075,237054,394823,3898587
06-30-2005,242526,283194,309334,360517,493913,4440968
07-31-2005,111399,127046,55225,229509,313498,2122762
08-31-2005,61639,71113,11292,85900,134906,888938
09-30-2005,29883,38385,14219,44661,66844,505087
10-31-2005,43280,54972,80223,39975,57311,723704
11-30-2005,27356,32892,27762,34251,39299,568512
12-31-2005,25423,31470,15311,26380,34995,421637
01-31-2006,25051,31783,12872,31594,45628,406367
02-28-2006,21555,27043,11278,26265,43141,317050
03-31-2006,36398,42375,20784,39876,79008,506727
04-30-2006,104378,136138,101638,98154,158856,1357488
05-31-2006,224564,270769,153154,246799,343316,3025325
06-30-2006,168278,205564,29137,277719,343393,2556609
07-31-2006,87526,104695,8223,149540,208655,1226116
08-31-2006,67932,84742,38047,60813,81891,777087
09-30-2006,44438,55738,43757,36671,48231,568324
10-31-2006,70059,80465,156131,34673,60431,1192301
11-30-2006,42128,49040,40874,30551,49463,623600
12-31-2006,35578,44583,25046,22355,34051,464328
