"Year", "BlueMesa", "Crystal", "Navajo", "Fontenelle", "FlamingGorge", "LeesFerry"
01-31-1932,23000,24600,19400,16000,36771,272930
02-29-1932,19000,22400,59500,18900,44483,557282
03-31-1932,27000,31900,150000,38600,96074,673831
04-30-1932,85000,105700,384000,76600,175287,1676128
05-31-1932,280010,341810,486500,201800,387881,4286246
06-30-1932,320128,377328,390442,365400,574008,4193513
07-31-1932,171821,188821,193742,274900,367325,2684942
08-31-1932,87935,94335,118014,107600,149023,1364498
09-30-1932,40738,43138,44900,50000,74987,693905
10-31-1932,27000,30500,24700,38700,44788,367644
11-30-1932,33000,37700,16900,31500,41106,378380
12-31-1932,25000,26700,14900,23500,28404,272887
01-31-1933,21000,23300,17900,16700,32066,273377
02-28-1933,17000,20500,17500,18900,35506,255953
03-31-1933,36000,41900,39700,29900,60530,501362
04-30-1933,44000,55000,53300,55700,102727,515700
05-31-1933,176010,216810,148600,93500,194498,1604249
06-30-1933,341728,400628,280367,397100,622626,4680018
07-31-1933,100326,110726,89001,169400,224673,1898288
08-31-1933,66370,70370,45801,68400,106937,818373
09-30-1933,34638,39038,63000,37000,57990,563832
10-31-1933,28300,33100,40100,29600,49513,440664
11-30-1933,30000,34500,20900,27600,37499,297779
12-31-1933,28000,29600,17200,26700,31949,333907
01-31-1934,23000,25200,18100,19100,28847,308075
02-28-1934,21000,24900,17500,23500,37822,303394
03-31-1934,32000,37200,38600,33700,47255,349072
04-30-1934,58000,72400,94900,24700,60869,557262
05-31-1934,125856,154656,101500,87800,82398,1480351
06-30-1934,59174,69374,40021,75200,117169,1018245
07-31-1934,45582,48382,40632,62300,90987,721126
08-31-1934,46270,48270,31539,42500,59254,532811
09-30-1934,24138,25938,28900,24900,43063,284828
10-31-1934,18400,21300,12400,22200,38410,212899
11-30-1934,6000,6800,12200,19100,31240,181355
12-31-1934,24000,25800,12200,18900,22052,228772
01-31-1935,21000,23300,13900,18400,28578,254933
02-28-1935,17000,20500,20500,19200,37005,274011
03-31-1935,30000,36200,50000,32000,66316,339574
04-30-1935,48000,60600,203500,55400,107522,685733
05-31-1935,128010,155110,313600,94000,208956,1585305
06-30-1935,404228,474770,584918,405200,594827,4708552
07-31-1935,147253,161556,233173,183200,249715,2255472
08-31-1935,79832,85032,101620,75900,120043,959192
09-30-1935,46738,49838,69400,38600,59816,594224
10-31-1935,36400,40000,35700,25900,30157,387726
11-30-1935,30000,33300,22200,25400,33830,319435
12-31-1935,20000,22800,14400,18400,24521,266192
01-31-1936,22000,23900,14200,16800,35536,264047
02-29-1936,20000,23000,13200,22000,45257,318399
03-31-1936,30000,35700,92200,33700,99235,459898
04-30-1936,175000,220009,248500,134500,290868,1400149
05-31-1936,395610,479659,289500,407600,612537,4032422
